"BOLA SPORTS COMERCIO DE VESTUARIO E ARTIGOS ESPORTIVOS","BOLA SHOW","24.635.760/0003-03"
"BOLA SPORTS COMERCIO DE VESTUARIO E ARTIGOS ESPORTIVOS","BOLA SHOW","24.635.760/0001-33"
"BRITT BRASIL COMERCIO E DISTRIBUIÇAO DE SOUVENIRS LTDA","BRITT RIO","205154800004-83"
"BRITT BRASIL COMERCIO E DISTRIBUIÇAO DE SOUVENIRS LTDA","BRITT RIO","205154800006-45"
"BRITT BRASIL COMERCIO E DISTRIBUIÇAO DE SOUVENIRS LTDA","BRITT RIO","205154800007-26"
"CAFÉS FINOS LTDA","PALHETA","330562920001-33"
"COLOMBO E PAINERAS COMERCIO LTDA - ME","CONFEITARIA COLOMBRO","227275610001-20"
"DELICIA ORGANICA RESTAURANTE E LANCHONETE EIRELE - EPP","REI DO MATE","243157120001-68"
"DELÍRIO GALEÃO S.A.","DELÍRIO TROPICAL","241768010001-70"
"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith","23.855.999/0004-07"
"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith","23.855.999/0005-80"
"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith","23.855.999/0006-60"
"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith","23.855.999/0007-41"
"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith","23.855.999/0010-47"
"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith","23.855.999/0008-22"
"DFA BRASIL CAFETERIA, LIVRARIA E CONVENIENCIA LTDA","WHSmith","23.855.999/0003-18"
"DOG U COMERCIO E DISTRIBUIDORA DE PRODUTOS LTDA ME","DOG U","26.352.597/0001-27"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA","HUDSON/ HUDSON NEWS","27.197.888/00001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUFRY - MARCAS NACIONAIS","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUFRY SHOPPING","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUFRY SHOPPING","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - DESEMBARQUE","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - EMBARQUE","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - HUGO BOSS","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - SALVATORE FERRAGAMO","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - MICHAEL KORS","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - POLO RALPH LAUREN","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - CASUAL FASHION","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - GIFTS &TREATS","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - TIME BOX","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - WATCHES","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","DUTY FREE - TRAVEL STAR","271978880001-50"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","HUDSON","27.197.888/0167-40"
"DUFRY DO BRASIL DUTY FREE SHOP LTDA.","HUDSON","271978880001-50"
"DWT FUTEBOL ARTIGOS DO VESTUÁRIO E ACESSÓRIOS ESPORTIVOS EIRELI EPP"," NAÇÃO RUBRO NEGRA "," 292351150001-47 "
"ESPAÇO DO BANHO E AROMAS LTDA","L'OCCITANE AU BRESIL","044471240005-02"
"EXACTTA GROUP, SERV.COMUN.,PROT.DE BAGAGENS E AFINS SERV.DE PUBLICITARIOS E IMPORT. E EXPORT. LTDA - EPP","EXACTTA","088465890002-36"
"EXACTTA GROUP, SERV.COMUN.,PROT.DE BAGAGENS E AFINS SERV.DE PUBLICITARIOS E IMPORT. E EXPORT. LTDA - EPP","EXACTTA","088465890002-36"
"EXACTTA GROUP, SERV.COMUN.,PROT.DE BAGAGENS E AFINS SERV.DE PUBLICITARIOS E IMPORT. E EXPORT. LTDA - EPP","EXACTTA","088465890002-36"
"FABIANA NOGUEIRA PINHEIRO","MR.CHENEY","31.865.915/0001-93"
"FAMA EMPREENDIMENTOS ALIMENTICIOS LTDA - EPP","CASA DO PÃO DE QUEIJO","14.776.057/0005-15"
"FARMACIA INTERFARMA","AIR FARMA","28145476/0002-10"
"FARMACIA INTERFARMA","AIR FARMA","28.145.476/0001-30"
"FOME FOOD LANCHONETE LTDA-ME","A SAIDEIRA","29.048.059/0001-31"
"FOME FOOD LANCHONETE LTDA-ME","F.O.M.E","30.408.320/0001-46"
"GALEÃO COFFE SHOP COM. DE RESTAURANTES BARES E LANCHONETES","GALEÃO COFFE SHOP","034614370002-00"
"GALEÃO COFFE SHOP COM. DE RESTAURANTES BARES E LANCHONETES","GALEÃO COFFE SHOP","034614370002-00"
"GOL LINHAS AÉREAS S.A","GOL","07.575.651/0001-59"
"HLE ENTRETENIMENTO E ALIMENTAÇÃO LTDA - ME","CAFÉ + RIO","299535690003-15"
"HLE ENTRETENIMENTO E ALIMENTAÇÃO LTDA - ME","EMPÓRIO AVIAÇÃO","29.953.569/0004-04"
"ISIS EMPREENDIMENTOS ALIMENTÍCIOS EIRELI - ME","SALCH&PÃO ","21275189/0002-86"
"ISIS EMPREENDIMENTOS ALIMENTÍCIOS EIRELI - ME","SALCH&PÃO ","21275189/0007-90"
"ISIS EMPREENDIMENTOS ALIMENTÍCIOS EIRELI - ME","SALCH&PÃO ","21275189/0006-00"
"ISIS EMPREENDIMENTOS ALIMENTÍCIOS EIRELI - ME","SALCH&PÃO ","21275189/0007-90"
"J.A. DA CAMARA FERNANDES - EPP","PIZZA HUT","191648990001-06"
"JESMOND COMERCIO VAREJISTA LTDA","GRANADO PHARMACIAS","087430250052-37"
"JESMOND COMERCIO VAREJISTA LTDA","GRANADO PHARMACIAS","08.743.025/0072-80"
"JIN AND JANE COMERCIO DE COUROS E VESTUARIO LTDA","MR CAT","089128860006-66"
"JJ PÁTIO BAR E RESTAURANTE LTDA - EPP","PALHETA (LANCHONETE POPULAR)","112055080003-04"
"JOSE FELIPE ABUD ANDARI EIRELI","MERCADO DO BANHO","29129326/0001-03"
"JOSE FELIPE ABUD ANDARI EIRELI","MERCADO DO BANHO","29129326/0002-86"
"JOSE FELIPE ABUD ANDARI EIRELI","MERCADO DO BANHO","29129326/0003-67"
"KDS ALIMENTAÇÃO EM ALIMENTOS LTDA","DOMINOS'S","208460560001-79"
"KDS ALIMENTAÇÃO EM ALIMENTOS LTDA","KONI STORE","208460560001-79"
"LEITURA RIO GALEÃO COMERCIO DE LIVROS LTDA","LEITURA RIO COMERCIO DE LIVROS LTDA","242936040001-31"
"LEITURA RIO GALEÃO COMERCIO DE LIVROS LTDA","LEITURA RIO COMERCIO DE LIVROS LTDA","16.670.085/0010-46"
"M&R EMPRESA ALÍMENTICIA LTDA - EPP","CASA DO PÃO DE QUEIJO","19.965.674/0003-10"
"M2D2F COMERCIO DE ALIMENTOS","TAPÍ TAPIOCA","253287670002-56"
"M2D2F COMERCIO DE ALIMENTOS","TAPÍ TAPIOCA","253287670001-75"
"MADU CHOCOLATE CAFÉ EIRELE - EPP","HAVANNA FLAGSHIP","244744890001-00"
"MADU SPA LTDA","BUDDHA SPA","14.901.547/0003-34"
"MALEX DO BRASIL IND. COM E SERVIÇO DE GUARDA MALAS LTDA","MALEX","242936040001-31"
"MASTER BRASIL FRANCHISING LTDA","CELLAIRIS","31.196.495/0001-08"
"MASTER BRASIL FRANCHISING LTDA","CELLAIRIS","224395050001-90"
"MAX GALEAO DOMESTICO LTDA - EPP","TRACK & FIELD","242312620001-25"
"MAX GALEAO INTERNACIONAL LTDA - EPP","TRACK & FIELD","242411870001-83"
"MC & MV COMERCIO DE ALIMENTOS LTDA - EPP","HARAD","25.447.297/0001-69"
"MC E MV COMERCIO DE ALIMENTOS LTDA ","HARAD","25.447.297/0001-69"
"MEGA AERO 01 LANCHONETE EIRELI - ME","MEGAMATTE","251348220001-96"
"NUTS GALEAO COMERCIO DE ALIMENTOS","NUTTY BAVARIAN","29.735.755/0001-16"
"NUTS GALEAO COMERCIO DE ALIMENTOS","NUTTY BAVARIAN","29.735.755/0001-16"
"NUTS GALEAO COMERCIO DE ALIMENTOS","NUTTY BAVARIAN","29.735.755/0001-16"
"PALADAR NACIONAL RESTAURANTE E LANCHONETE EIRELES - EPP","REI DO MATE","244052340001-87"
"PALAPHITA EEDEN BAR E RESTAURANTE LTDA","PALAPHITA","243274890001-79"
"PDOIS COMÉRCIO DE PRODUTOS ALIMENTÍCIOS LTDA.","KOPENHAGEN","683935110004-05"
"RAJA DROGARIA LTDA - EPP","AIR FARMA","13.845.120/0001-31"
"RETAIL SERVICES BRASIL ALIMENTOS E BEBIDAS LTDA.","365 DELI","17.677.676/0005-40"
"RIO AIRPORT RESTAURANTS LIMITADA","MANIA DE CHURRASCO","28906804/0004-16"
"RIO AIRPORT RESTAURANTS LIMITADA","MR.BAKER","28.906.804/0003-35"
"RIO AIRPORT RESTAURANTS LIMITADA","TGI FRIDAY'S","28906804/0002-54"
"RIO AIRPORT RESTAURANTS LIMITADA","TGI FRIDAY'S","28906804/0002-54"
"SAFE BAG BRASIL SERVIÇOS DE PROTEÇÃO E LACRAÇÃO DE BAGAGENS LTDA","SAFE BAG","224538360002-65"
"SAFE BAG BRASIL SERVIÇOS DE PROTEÇÃO E LACRAÇÃO DE BAGAGENS LTDA","SAFE BAG","224538360002-65"
"SAFE BAG BRASIL SERVIÇOS DE PROTEÇÃO E LACRAÇÃO DE BAGAGENS LTDA","SAFE BAG","224538360002-65"
"SANDÁLIAS BRASIL COM. DE CALÇADOS LTDA.","HAVAIANAS","194765090001-33"
"SGH BRASIL COMERCIO DE OCULOS LTDA.","SUNGLASS HUT INTERNACIONAL","132576480078-79"
"SIMAS COMERCIO OPTICO LTDA","CHILLI BEANS","274845940001-00"
"SIMAS COMERCIO OPTICO LTDA","CHILLI BEANS","274845940002-90"
"SKILLED REPRESENTAÇÕES COMERCIAIS LTDA","SKILL SIM","26.065.297/0001-67"
"SMART CATERING SERVICOS E SOLUCOES EM ALIMENTACAO","DOOG HOT DOG","16.803469/0008-75"
"SOBRAL ALIMENTOS E REFEICOES EIRELI - EPP","DIVINO FOGÃO","252692210001-90"
"SOBRAL COFFEE GALEAO RJ CAFETERIA, DOCES, SALGADOS E SUCOS LTDA - EPP","CASA BAUDUCCO","276653240001-03"
"SOBRAL FOODS COMERCIO DE ALIMENTOS EIRELI EPP","GIRAFFAS","243158170001-17"
"STARBUCKS BRASIL COMÉRCIO DE CAFÉS LTDA","STARBUCKS COFFE","079842670108-49"
"STARBUCKS BRASIL COMÉRCIO DE CAFÉS LTDA","STARBUCKS COFFE","07.984.267/0128-92"
"SUPLICY CAFES ESPECIAIS GALEAO LTDA.","CAFÉ SUPLICY","262300020001-60"
"TAO LANCHONETE LTDA ME","BOB'S","00154642/000226"
"TAO LANCHONETE LTDA ME","BOB'S","001546420003-07"
"TAO LANCHONETE LTDA ME","PASTATORE","001546420001-45"
"TAO LANCHONETE LTDA ME","SPOLETTO ","001546420001-45"
"TASOS COMERCIO VAREJISTA DE CALCADOS EIRELI","CROCS","29.986.179/0001-80"
"TGKLM ALIMENTOS EIRELI","PICCOLA BY MAMMA JAMMA","251965190001-18"
"TICKET POINT BAR LANCHONETE E SERVIÇOS TURÍSTICOS LTDA. - ME","TICKET CENTER RIO DE JANEIRO","30069314/0001-01"
"TUIA MAÇA COMÉRCIO DELICATESSEN LTDA","KAFÉ","041015120002-86"
"TURURI ARTESANATO LDTA. - EPP","MARIA OITICICA BIOJOIAS","071946700004-88"
"VENEZA COMERCIO VAREJISTA LTDA","PUKET","23.079.720/0002-70"
"ZIMBRO CAFÉ E CHOCOLATE LTDA. - EPP","CHOCOLATE Q","094891890004-45"
"ZM COMERCIO DE BIJUTERIAS LTDA - ME","EHVEN PEDRAS","015244940003-38"
"ZM COMERCIO DE BIJUTERIAS LTDA - ME","EHVEN PEDRAS","015244940004-19"
